Timestamp dT0 sum(dT0) L0 L0hat int_weight n_AODVISstdn n_H2SO4_mass n_rmode n_sad n_H2SO4_mmr n_SAD_AERO REFF_AERO 
2078 -0.07923756127411252 0.2247010054197176 0.28643297643607696 0.28236 1 0.28643297643607696 3.1898828644313413e+28 525509761176.0995 5267.385546852036 48751291315.445755 5.2673855486040435e-05 52550976111060.83 
2079 -0.1378518767562582 0.0868491286634594 0.28455192305340166 0.28598 1 0.28455192305340166 3.1651864499200283e+28 523159738912.10657 5240.149771618356 48394402899.299065 5.240149772622367e-05 52315973884789.74 
2080 -0.018599319380655288 0.06824980928280411 0.29099021371726014 0.28959999999999997 1 0.29099021371726014 3.249827714097652e+28 531177946978.7439 5333.3001610103265 49617218993.39125 5.3333001645201566e-05 53117794691020.38 
2081 0.10213844040055164 0.17038824968335575 0.3008507473223494 0.29322 1 0.3008507473223494 3.380068682051375e+28 543323165795.86975 5475.589599471957 51496995687.276024 5.4755896065276056e-05 54332316572100.055 
2082 0.14112204392228023 0.311510293605636 0.30951370545078166 0.29684 1 0.30951370545078166 3.495085776244519e+28 553863687710.3495 5600.235072046451 53155271262.919075 5.600235081935302e-05 55386368763020.92 
2083 -0.06330832310970891 0.24820197049592707 0.3056370221268141 0.30046 1 0.3056370221268141 3.443547728899613e+28 549161446383.8887 5544.497287042278 52412415776.53052 5.5444972956952486e-05 54916144630607.48 
2084 0.08908659770878558 0.33728856820471265 0.31601850464557796 0.30408 1 0.31601850464557796 3.5818062613031893e+28 561701590605.5245 5693.611832857223 54404511936.22601 5.6936118447056374e-05 56170159052159.59 
2085 0.1748375667975779 0.5121261350022905 0.3269349836503963 0.3077 1 0.3269349836503963 3.7280147143981706e+28 574713060530.9891 5849.913825681112 56508694689.18452 5.849913840505096e-05 57471306044101.49 
2086 -0.08119235849250117 0.43093377650978937 0.32111275970448405 0.31132 1 0.32111275970448405 3.649931689695718e+28 567795298696.8385 5766.613582231232 55385258613.52083 5.766613595516333e-05 56779529861004.11 
2087 0.01273695411754261 0.443670730627332 0.32771941517285647 0.31494 1 0.32771941517285647 3.7385528432521347e+28 575641347444.7987 5861.126175929681 56660260875.53359 5.8611261909527125e-05 57564134735440.48 
2088 0.09983554669202022 0.5435062773193522 0.33657357107231844 0.31856 1 0.33657357107231844 3.8577923252166653e+28 586058883528.4592 5987.510111485374 58374372333.47157 5.987510128621166e-05 58605888343345.7 
2089 0.11782908255662505 0.6613353598759772 0.34399660438811286 0.32218 1 0.34399660438811286 3.9581662434846946e+28 594709142007.4739 6093.2246864998915 59816073088.13288 6.093224705221089e-05 59470914190878.83 
2090 0.21974064711963592 0.8810760069956132 0.35662286631522694 0.3258 1 0.35662286631522694 4.129731846357123e+28 609254752392.8014 6272.549932492912 62277843269.292206 6.27254995353423e-05 60925475228820.91 
2091 0.1035952047014348 0.984671211697048 0.35989145965915753 0.32942 1 0.35989145965915753 4.174313473534671e+28 612986768642.0015 6318.874041157369 62917040327.36098 6.318874062724031e-05 61298676853595.09 
2092 -0.06613700636512476 0.9185342053319232 0.35690712157107035 0.33304 1 0.35690712157107035 4.133606199978373e+28 609579846357.9594 6276.580121005803 62333400544.80666 6.276580142094019e-05 60957984625323.91 
2093 0.025562186664501496 0.9440963919964247 0.36381044020250597 0.33666 1 0.36381044020250597 4.227855670459678e+28 617443716990.4237 6374.363541853921 63684445479.28147 6.374363564010543e-05 61744371688266.2 
2094 0.1923801332384869 1.1364765252349116 0.3774879864372551 0.34027999999999997 1 0.3774879864372551 4.4154763325521045e+28 632851813812.9357 6567.589263571039 66371323045.91696 6.567589287453208e-05 63285181369951.02 
2095 0.14569564597337603 1.2821721712082876 0.38388029888108655 0.3439 1 0.38388029888108655 4.50355728248108e+28 639976875985.875 6657.667387142221 67631543000.98894 6.657667411657576e-05 63997687586996.05 
2096 0.04532958631028805 1.3275017575185757 0.38595927762720816 0.34752 1 0.38595927762720816 4.532257281246463e+28 642284011638.657 6686.933027250688 68042011151.192245 6.686933051948738e-05 64228401152195.42 
2097 0.12686745231667373 1.4543692098352494 0.39541462654025383 0.35114 1 0.39541462654025383 4.66311304988105e+28 652715487846.9886 6819.849217066743 69912549859.08504 6.819849242454422e-05 65271548772682.61 
2098 0.32090403709474913 1.7752732469299985 0.41345296395269293 0.35476 1 0.41345296395269293 4.914203966064945e+28 672345696071.4767 7072.59506996978 73497511906.49417 7.072595096049358e-05 67234569594526.516 
