Timestamp dT0 sum(dT0) L0 int_weight n_AODVISstdn n_so4mass_a1 n_so4mass_a2 n_so4mass_a3 n_diamwet_a1 n_diamwet_a2 n_diamwet_a3 n_SAD_AERO 
2051 0.10356517127951292 -1.661228546920654 0.2770878064344291 1 0.2770878064344291 4164772154.05511 -16608295.291907307 39298518771.00489 0.0001473528747090797 1.3066103558856631e-05 0.0012877463808665997 0.0004288499675019357 
2052 -0.010492938315167066 -1.671721485235821 0.28394561518819145 1 0.28394561518819145 4187778234.400634 -16987637.523826186 40466140890.9579 0.000148678218999197 1.3148124401565777e-05 0.0012897095205061573 0.00043581298022451185 
2053 -0.006247901768347219 -1.6779693870041683 0.2942347730572268 1 0.2942347730572268 4221523829.6352105 -17546889.34305905 42228347648.08464 0.0001506239427109428 1.3269688493797064e-05 0.0012924140072653443 0.0004463026312591505 
2054 -0.12516622029255586 -1.8031356072967242 0.2977456440655954 1 0.2977456440655954 4232835292.6456094 -17735100.749498304 42832438754.74962 0.0001512765939453187 1.3310771311018145e-05 0.0012932750784263635 0.00044989338730465225 
2055 -0.20119180613727394 -2.004327413433998 0.3003287951853377 1 0.3003287951853377 4241093884.6834984 -17872753.308594603 43277796638.98656 0.00015175324150231012 1.3340872561573103e-05 0.0012938896248683206 0.0004525389825319274 
2056 -0.1121813598071526 -2.1165087732411507 0.310025247703219 1 0.310025247703219 4271625598.98215 -18383390.455233667 44956210760.82555 0.00015351642334733033 1.3452936423102784e-05 0.001296060119036296 0.0004624971617605987 
2057 -0.08157222852759105 -2.1980810017687418 0.3189435190755122 1 0.3189435190755122 4299079162.452363 -18844881.532332372 46509041611.39388 0.0001551032262307974 1.3554753843813801e-05 0.0012978791999537318 0.0004716935073581672 
2058 -0.28978259454623867 -2.4878635963149804 0.31534495427493353 1 0.31534495427493353 4288071894.018569 -18659585.442372296 45881429289.80645 0.0001544668547865559 1.3513811251733729e-05 0.0012971646215303486 0.0004679784907610342 
2059 -0.11316939755897693 -2.6010329938739574 0.3274666187541636 1 0.3274666187541636 4324781726.443643 -19278938.336750116 48001042464.467285 0.00015659000062126106 1.3650982412853182e-05 0.0012994726977814473 0.0004805149839154704 
2060 -0.16180722691092342 -2.762840220784881 0.33191939527404135 1 0.33191939527404135 4338010027.169157 -19503086.16534948 48783562087.45019 0.00015735563860037852 1.3700850153839399e-05 0.0013002528219938508 0.0004851360773616527 
